iter	Passed	Remaining
834	3841	759
835	3846	754
836	3849	749
837	3853	744
838	3856	740
839	3862	735
840	3868	731
841	3872	726
842	3875	721
843	3879	717
844	3882	712
845	3891	708
846	3896	703
847	3901	699
848	3906	694
849	3911	690
850	3914	685
851	3919	680
852	3923	676
853	3928	671
854	3934	667
855	3938	662
856	3941	657
857	3945	652
858	3950	648
859	3957	644
860	3961	639
861	3966	635
862	3972	630
863	3977	626
864	3981	621
865	3985	616
866	3989	611
867	3994	607
868	3997	602
869	4000	597
870	4004	593
871	4007	588
872	4011	583
873	4014	578
874	4018	574
875	4023	569
876	4028	564
877	4032	560
878	4036	555
879	4039	550
880	4042	546
881	4045	541
882	4049	536
883	4052	531
884	4056	527
885	4060	522
886	4063	517
887	4066	512
888	4070	508
889	4073	503
890	4079	499
891	4083	494
892	4090	490
893	4095	485
894	4098	480
895	4101	476
896	4105	471
897	4109	466
898	4112	462
899	4118	457
900	4121	452
901	4124	448
902	4127	443
903	4130	438
904	4134	433
905	4138	429
906	4141	424
907	4145	420
908	4149	415
909	4157	411
910	4161	406
911	4164	401
912	4168	397
913	4172	392
914	4177	388
915	4183	383
916	4186	378
917	4190	374
918	4194	369
919	4198	365
920	4202	360
921	4207	355
922	4214	351
923	4219	347
924	4223	342
925	4228	337
926	4232	333
927	4236	328
928	4241	324
929	4247	319
930	4252	315
931	4256	310
932	4260	305
933	4265	301
934	4270	296
935	4276	292
936	4281	287
937	4285	283
938	4289	278
939	4292	274
940	4296	269
941	4300	264
942	4305	260
943	4309	255
944	4312	251
945	4316	246
946	4320	241
947	4323	237
948	4329	232
949	4333	228
950	4339	223
951	4348	219
952	4351	214
953	4356	210
954	4360	205
955	4367	200
956	4374	196
957	4379	192
958	4385	187
959	4393	183
960	4400	178
961	4405	174
962	4409	169
963	4414	164
964	4418	160
965	4422	155
966	4428	151
967	4433	146
968	4437	141
969	4441	137
970	4445	132
971	4449	128
972	4454	123
973	4458	119
974	4464	114
975	4471	109
976	4476	105
977	4479	100
978	4484	96
979	4490	91
980	4496	87
981	4499	82
982	4504	77
983	4509	73
984	4514	68
985	4518	64
986	4525	59
987	4531	55
988	4535	50
989	4540	45
990	4544	41
991	4548	36
992	4552	32
993	4558	27
994	4561	22
995	4566	18
996	4569	13
997	4573	9
998	4578	4
999	4583	0
