iter	Logloss
0	0.6623334422
1	0.6335379585
2	0.6081918894
3	0.5860888092
4	0.56687647
5	0.5475114462
6	0.529855836
7	0.5136055418
8	0.4985705693
9	0.4856287684
10	0.4734756204
11	0.4618550721
12	0.4514612042
13	0.441239111
14	0.4330686792
15	0.4247108462
16	0.4173083291
17	0.4101137992
18	0.4035658504
19	0.3977945199
20	0.3923505325
21	0.3872424101
22	0.3817880759
23	0.3781587291
24	0.3739910646
25	0.3704539369
26	0.3673072245
27	0.3634545736
28	0.3603235114
29	0.3573812415
30	0.3540123148
31	0.351003911
32	0.3488633355
33	0.3462794609
34	0.344063316
35	0.3418803423
36	0.3396816917
37	0.3371492195
38	0.3349768253
39	0.3336998938
40	0.331721995
41	0.3304793757
42	0.3291696084
43	0.3274465912
44	0.3261718786
45	0.3246768834
46	0.3229290309
47	0.3216622241
48	0.3205284727
49	0.3194161004
50	0.3185658849
51	0.3178426888
52	0.3162433527
53	0.3152640117
54	0.313950694
55	0.312544549
56	0.3112023732
57	0.3102690239
58	0.3096918678
59	0.3089339596
60	0.3082188557
61	0.3074712281
62	0.3067911224
63	0.3058977748
64	0.3050156916
65	0.304483739
66	0.303922581
67	0.3026166857
68	0.3020220152
69	0.3012473511
70	0.3007210827
71	0.3001780139
72	0.2994183726
73	0.2988703447
74	0.2983521063
75	0.2978573339
76	0.2971186041
77	0.2962798433
78	0.2956045325
79	0.2944150238
80	0.2936832572
81	0.29318448
82	0.2927026733
83	0.291874022
84	0.2915331807
85	0.2910267252
86	0.2902867502
87	0.2897553202
88	0.2893675944
89	0.2884509599
90	0.2878299281
91	0.2872426973
92	0.2868095885
93	0.28627576
94	0.2858297259
95	0.2854861902
96	0.2852292132
97	0.2843066201
98	0.2840226205
99	0.2835736625
100	0.2828534593
101	0.2823262637
102	0.2815657177
103	0.2811736968
104	0.2808074354
105	0.2804672608
106	0.2802052366
107	0.2798457818
108	0.2793331904
109	0.2789371443
110	0.2787159025
111	0.2782609323
112	0.2778222549
113	0.2775576044
114	0.2771334479
115	0.2768445774
116	0.2766022112
117	0.2762887724
118	0.2759751014
119	0.2756280269
120	0.2750249253
121	0.2747609119
122	0.2744110939
123	0.2740389748
124	0.2737424521
125	0.2734803261
126	0.2732146376
127	0.2729212658
128	0.272714616
129	0.2721677257
130	0.2719373855
131	0.2716351549
132	0.2714346855
133	0.2712319597
134	0.2710406867
135	0.2707653654
136	0.2705467034
137	0.2701818062
138	0.2696600569
139	0.2693122383
140	0.2689465859
141	0.2686403739
142	0.2682714496
143	0.2679256647
144	0.2674201723
145	0.2671038339
146	0.2668070297
147	0.26660403
148	0.2662866525
149	0.2659203352
150	0.2657527129
151	0.2652117487
152	0.2649758894
153	0.2647597479
154	0.2644123084
155	0.2642336591
156	0.2639638427
157	0.2637730081
158	0.263566615
159	0.2630606495
160	0.2627054336
161	0.2623121992
162	0.2620858729
163	0.261393229
164	0.2610698969
165	0.2608327892
166	0.2605602444
167	0.2602873871
168	0.2598949562
169	0.2596766563
170	0.259504451
171	0.2592247707
172	0.2590474302
173	0.2587708276
174	0.2583771099
175	0.2581193801
176	0.2577976632
177	0.2575088582
178	0.2571298187
179	0.2567442813
180	0.2565855232
181	0.2563985949
182	0.2562294681
183	0.2560364191
184	0.2558427106
185	0.2556522381
186	0.2554105859
187	0.2551953588
188	0.2550076074
189	0.2547569257
190	0.2544805469
191	0.254108511
192	0.2537709439
193	0.2533614249
194	0.2531376577
195	0.2529130793
196	0.2527213648
197	0.2524838837
198	0.2521977932
199	0.2520166684
200	0.2516740417
201	0.251501075
202	0.2513017755
203	0.2509996786
204	0.2506460801
205	0.2505463505
206	0.2502487106
207	0.2500357674
208	0.2498664568
209	0.2495326735
210	0.2492269693
211	0.2490032073
212	0.248726334
213	0.2484700679
214	0.2483189577
215	0.2481866548
216	0.2480134616
217	0.2477659152
218	0.247583341
219	0.2471578289
220	0.2468837337
221	0.2467588798
222	0.2465771948
223	0.2463715466
224	0.2462260944
225	0.2459204098
226	0.245797983
227	0.2456802181
228	0.2455032016
229	0.2453148137
230	0.2452180633
231	0.2449851035
232	0.2447969574
233	0.2446384182
234	0.244520205
235	0.2443069864
236	0.244111043
237	0.2438856153
238	0.2434405931
239	0.2433098637
240	0.2429198915
241	0.2427932116
242	0.2425329386
243	0.2424362944
244	0.2423281766
245	0.2420652131
246	0.2417036141
247	0.2413558173
248	0.2410367506
249	0.2407303047
250	0.2404787664
251	0.2404031262
252	0.2401224055
253	0.2399299353
254	0.2398079236
255	0.2395790298
256	0.2393752312
257	0.239188636
258	0.2389744685
259	0.238718389
260	0.2384396053
261	0.2383761291
262	0.2382275216
263	0.2379758565
264	0.2378168608
265	0.2376991928
266	0.2374334471
267	0.2372819463
268	0.2370780211
269	0.2369125891
270	0.2367639089
271	0.2365774439
272	0.2364150371
273	0.2362257839
274	0.2360488934
275	0.2359173045
276	0.2356973276
277	0.2353682527
278	0.2351956655
279	0.2350519127
280	0.2349679371
281	0.2348362796
282	0.2346520435
283	0.2344889829
284	0.2342897397
285	0.2340439488
286	0.2338566489
287	0.2336480041
288	0.2335007677
289	0.2333148559
290	0.2330715603
291	0.2328768866
292	0.2324819466
293	0.2322932597
294	0.2321617169
295	0.2319958531
296	0.2316861705
297	0.2315438879
298	0.2313976089
299	0.2312159725
300	0.2309320947
301	0.2307042654
302	0.2305061499
303	0.2303939179
304	0.2301697228
305	0.2300690435
306	0.2299504166
307	0.2297763536
308	0.2294328112
309	0.229179268
310	0.228988965
311	0.2288144523
312	0.2286710745
313	0.2284478726
314	0.2282254037
315	0.2280796317
316	0.2278541119
317	0.2276014041
318	0.227461146
319	0.227260861
320	0.2270416823
321	0.2267989389
322	0.2266837483
323	0.2264477418
324	0.2262752771
325	0.2261106022
326	0.2258241392
327	0.2255261629
328	0.2253749138
329	0.2250801817
330	0.2248404685
331	0.2246788898
332	0.2244465399
333	0.2243346634
334	0.2240914615
335	0.2239414565
336	0.2238409861
337	0.2236718818
338	0.2233757877
339	0.2232839339
340	0.2229155604
341	0.2226870882
342	0.2225902962
343	0.2223874431
344	0.2221720777
345	0.2220228394
346	0.2217865699
347	0.2216706782
348	0.2214779571
349	0.2211911439
350	0.2209873124
351	0.2208412048
352	0.2205772803
353	0.2203990944
354	0.22022617
355	0.220011427
356	0.219826345
357	0.2196391564
358	0.2194409928
359	0.2192501394
360	0.2190478434
361	0.2189114315
362	0.2187738861
363	0.2185611729
364	0.2183449351
365	0.2180217689
366	0.2178354615
367	0.2173851262
368	0.2171570511
369	0.216974521
370	0.2167976519
371	0.2167073692
372	0.216580112
373	0.2163828964
374	0.2162253886
375	0.2160903184
376	0.2159667717
377	0.2157075529
378	0.2155260678
379	0.2152925369
380	0.2151447484
381	0.2150220816
382	0.2149352056
383	0.2147993895
384	0.2145240752
385	0.2143420049
386	0.2141031249
387	0.2139472907
388	0.2138117397
389	0.2136075976
390	0.2131846973
391	0.2130498371
392	0.2128828707
393	0.212714513
394	0.2125216333
395	0.2124024633
396	0.2122545362
397	0.2120507429
